driver_1,driver_2,constructorId,year,driver_1_points,driver_2_points
541,670,105,1954,0,4
541,672,105,1954,0,0
541,694,105,1954,0,0
577,579,105,1954,6,17
577,580,105,1954,6,0
577,627,105,1954,6,0
577,633,105,1954,6,2
577,638,105,1954,6,0
577,640,105,1954,6,0
577,643,105,1954,6,6
577,644,105,1954,6,4
577,647,105,1954,6,0
577,663,105,1954,6,0
577,669,105,1954,6,3
577,670,105,1954,6,4
577,672,105,1954,6,0
577,694,105,1954,6,0
579,580,105,1954,17,0
579,627,105,1954,17,0
579,633,105,1954,17,2
579,638,105,1954,17,0
579,640,105,1954,17,0
579,643,105,1954,17,6
579,644,105,1954,17,4
579,647,105,1954,17,0
579,663,105,1954,17,0
579,669,105,1954,17,3
579,670,105,1954,17,4
579,672,105,1954,17,0
579,694,105,1954,17,0
580,627,105,1954,0,0
580,633,105,1954,0,2
580,638,105,1954,0,0
580,640,105,1954,0,0
580,643,105,1954,0,6
580,644,105,1954,0,4
580,647,105,1954,0,0
580,663,105,1954,0,0
580,669,105,1954,0,3
580,670,105,1954,0,4
580,672,105,1954,0,0
580,694,105,1954,0,0
627,633,105,1954,0,2
627,638,105,1954,0,0
627,640,105,1954,0,0
627,643,105,1954,0,6
627,644,105,1954,0,4
627,647,105,1954,0,0
627,663,105,1954,0,0
627,669,105,1954,0,3
627,670,105,1954,0,4
627,672,105,1954,0,0
627,694,105,1954,0,0
633,638,105,1954,2,0
633,640,105,1954,2,0
633,643,105,1954,2,6
633,644,105,1954,2,4
633,647,105,1954,2,0
633,663,105,1954,2,0
633,669,105,1954,2,3
633,670,105,1954,2,4
633,672,105,1954,2,0
633,694,105,1954,2,0
638,640,105,1954,0,0
638,643,105,1954,0,6
638,644,105,1954,0,4
638,647,105,1954,0,0
638,663,105,1954,0,0
638,669,105,1954,0,3
638,670,105,1954,0,4
638,672,105,1954,0,0
638,694,105,1954,0,0
640,643,105,1954,0,6
640,644,105,1954,0,4
640,647,105,1954,0,0
640,663,105,1954,0,0
640,669,105,1954,0,3
640,670,105,1954,0,4
640,672,105,1954,0,0
640,694,105,1954,0,0
643,644,105,1954,6,4
643,647,105,1954,6,0
643,663,105,1954,6,0
643,669,105,1954,6,3
643,670,105,1954,6,4
643,672,105,1954,6,0
643,694,105,1954,6,0
644,647,105,1954,4,0
644,663,105,1954,4,0
644,669,105,1954,4,3
644,670,105,1954,4,4
644,672,105,1954,4,0
644,694,105,1954,4,0
647,663,105,1954,0,0
647,669,105,1954,0,3
647,670,105,1954,0,4
647,672,105,1954,0,0
647,694,105,1954,0,0
663,669,105,1954,0,3
663,670,105,1954,0,4
663,672,105,1954,0,0
663,694,105,1954,0,0
669,670,105,1954,3,4
669,672,105,1954,3,0
669,694,105,1954,3,0
670,672,105,1954,4,0
670,694,105,1954,4,0
672,694,105,1954,0,0
456,496,105,1955,0,2
456,501,105,1955,0,0
456,547,105,1955,0,0
456,554,105,1955,0,6
456,577,105,1955,0,6
456,581,105,1955,0,0
456,607,105,1955,0,2
456,609,105,1955,0,0
456,623,105,1955,0,0
456,627,105,1955,0,0
456,643,105,1955,0,7
456,644,105,1955,0,0
456,645,105,1955,0,0
456,651,105,1955,0,0
456,660,105,1955,0,0
456,661,105,1955,0,0
456,667,105,1955,0,0
496,501,105,1955,2,0
496,547,105,1955,2,0
496,554,105,1955,2,6
496,577,105,1955,2,6
496,581,105,1955,2,0
496,607,105,1955,2,2
496,609,105,1955,2,0
496,623,105,1955,2,0
496,627,105,1955,2,0
496,643,105,1955,2,7
496,644,105,1955,2,0
496,645,105,1955,2,0
496,651,105,1955,2,0
496,660,105,1955,2,0
496,661,105,1955,2,0
496,667,105,1955,2,0
501,547,105,1955,0,0
501,554,105,1955,0,6
501,577,105,1955,0,6
501,581,105,1955,0,0
501,607,105,1955,0,2
501,609,105,1955,0,0
501,623,105,1955,0,0
501,627,105,1955,0,0
501,643,105,1955,0,7
501,644,105,1955,0,0
501,645,105,1955,0,0
501,651,105,1955,0,0
501,660,105,1955,0,0
501,661,105,1955,0,0
501,667,105,1955,0,0
547,554,105,1955,0,6
547,577,105,1955,0,6
547,581,105,1955,0,0
547,607,105,1955,0,2
547,609,105,1955,0,0
547,623,105,1955,0,0
547,627,105,1955,0,0
547,643,105,1955,0,7
547,644,105,1955,0,0
547,645,105,1955,0,0
547,651,105,1955,0,0
547,660,105,1955,0,0
547,661,105,1955,0,0
547,667,105,1955,0,0
554,577,105,1955,6,6
554,581,105,1955,6,0
554,607,105,1955,6,2
554,609,105,1955,6,0
554,623,105,1955,6,0
554,627,105,1955,6,0
554,643,105,1955,6,7
554,644,105,1955,6,0
554,645,105,1955,6,0
554,651,105,1955,6,0
554,660,105,1955,6,0
554,661,105,1955,6,0
554,667,105,1955,6,0
577,581,105,1955,6,0
577,607,105,1955,6,2
577,609,105,1955,6,0
577,623,105,1955,6,0
577,627,105,1955,6,0
577,643,105,1955,6,7
577,644,105,1955,6,0
577,645,105,1955,6,0
577,651,105,1955,6,0
577,660,105,1955,6,0
577,661,105,1955,6,0
577,667,105,1955,6,0
581,607,105,1955,0,2
581,609,105,1955,0,0
581,623,105,1955,0,0
581,627,105,1955,0,0
581,643,105,1955,0,7
581,644,105,1955,0,0
581,645,105,1955,0,0
581,651,105,1955,0,0
581,660,105,1955,0,0
581,661,105,1955,0,0
581,667,105,1955,0,0
607,609,105,1955,2,0
607,623,105,1955,2,0
607,627,105,1955,2,0
607,643,105,1955,2,7
607,644,105,1955,2,0
607,645,105,1955,2,0
607,651,105,1955,2,0
607,660,105,1955,2,0
607,661,105,1955,2,0
607,667,105,1955,2,0
609,623,105,1955,0,0
609,627,105,1955,0,0
609,643,105,1955,0,7
609,644,105,1955,0,0
609,645,105,1955,0,0
609,651,105,1955,0,0
609,660,105,1955,0,0
609,661,105,1955,0,0
609,667,105,1955,0,0
623,627,105,1955,0,0
623,643,105,1955,0,7
623,644,105,1955,0,0
623,645,105,1955,0,0
623,651,105,1955,0,0
623,660,105,1955,0,0
623,661,105,1955,0,0
623,667,105,1955,0,0
627,643,105,1955,0,7
627,644,105,1955,0,0
627,645,105,1955,0,0
627,651,105,1955,0,0
627,660,105,1955,0,0
627,661,105,1955,0,0
627,667,105,1955,0,0
643,644,105,1955,7,0
643,645,105,1955,7,0
643,651,105,1955,7,0
643,660,105,1955,7,0
643,661,105,1955,7,0
643,667,105,1955,7,0
644,645,105,1955,0,0
644,651,105,1955,0,0
644,660,105,1955,0,0
644,661,105,1955,0,0
644,667,105,1955,0,0
645,651,105,1955,0,0
645,660,105,1955,0,0
645,661,105,1955,0,0
645,667,105,1955,0,0
651,660,105,1955,0,0
651,661,105,1955,0,0
651,667,105,1955,0,0
660,661,105,1955,0,0
660,667,105,1955,0,0
661,667,105,1955,0,0
347,356,105,1956,0,0
347,456,105,1956,0,0
347,475,105,1956,0,28
347,496,105,1956,0,0
347,498,105,1956,0,0
347,501,105,1956,0,0
347,506,105,1956,0,0
347,547,105,1956,0,2
347,554,105,1956,0,22
347,578,105,1956,0,4
347,580,105,1956,0,6
347,583,105,1956,0,2
347,586,105,1956,0,0
347,589,105,1956,0,0
347,607,105,1956,0,3
347,609,105,1956,0,0
347,620,105,1956,0,0
347,622,105,1956,0,2
347,623,105,1956,0,0
347,624,105,1956,0,0
347,627,105,1956,0,2
347,633,105,1956,0,2
347,638,105,1956,0,0
347,640,105,1956,0,0
347,806,105,1956,0,0
356,456,105,1956,0,0
356,475,105,1956,0,28
356,496,105,1956,0,0
356,498,105,1956,0,0
356,501,105,1956,0,0
356,506,105,1956,0,0
356,547,105,1956,0,2
356,554,105,1956,0,22
356,578,105,1956,0,4
356,580,105,1956,0,6
356,583,105,1956,0,2
356,586,105,1956,0,0
356,589,105,1956,0,0
356,607,105,1956,0,3
356,609,105,1956,0,0
356,620,105,1956,0,0
356,622,105,1956,0,2
356,623,105,1956,0,0
356,624,105,1956,0,0
